Table Name,Column Name,Data Type,Key,References,Nullable,Column Description,Synthetic Example Value
review_cases,case_type,STRING,,,N,"AML, sanctions, fraud, tax, KYC, referral.",AML
review_cases,case_priority,STRING,,,N,"Low, medium, high, urgent.",high
review_cases,case_status,STRING,,,N,"Open, pending info, escalated, closed.",open
review_cases,assigned_investigator_staff_id,STRING,FK,bank_people.staff_id,Y,Assigned investigator.,EMP_0035
review_cases,decision,STRING,,,Y,"No issue, monitor, escalate, file report, exit.",monitor
review_cases,decision_reason,STRING,,,Y,Reason for decision.,Insufficient economic rationale pending clarification
review_cases,reported_to_authority_flag,BOOLEAN,,,N,Whether case resulted in regulatory report.,FALSE
review_cases,quality_review_status,STRING,,,Y,"Not required, pending, passed, failed.",pending
review_cases,case_summary,STRING,,,Y,Investigation summary.,Review of high-value wire transfer to new counterparty
review_evidence,review_evidence_id,STRING,PK,,N,Simple evidence identifier.,EVID_000001
review_evidence,review_case_id,STRING,FK,review_cases.review_case_id,N,Investigation case.,CASE_800001
review_evidence,related_movement_id,STRING,FK,money_movements.movement_id,Y,Transaction evidence if applicable.,TXN_500001
review_evidence,related_document_id,STRING,FK,client_documents.document_id,Y,Document evidence if applicable.,DOC_000001
review_evidence,evidence_type,STRING,,,N,"Transaction, document, note, external search, screenshot, communication.",transaction
review_evidence,evidence_title,STRING,,,N,Short title.,Outgoing wire transfer details
review_evidence,evidence_date,DATE,,,Y,Date evidence was captured.,46129
review_evidence,collected_by_staff_id,STRING,FK,bank_people.staff_id,Y,Staff who collected evidence.,EMP_0035
review_evidence,source_channel,STRING,,,Y,"System, email, client call, branch, open web.",system
review_evidence,evidence_summary,STRING,,,Y,Short evidence summary.,Transaction is first payment to beneficiary and exceeds expected monthly turnover
review_evidence,confidentiality_level,STRING,,,N,"Public, internal, restricted, confidential.",restricted
review_evidence,is_key_evidence_flag,BOOLEAN,,,N,Whether evidence is key to decision.,TRUE
interaction_notes,interaction_note_id,STRING,PK,,N,Simple note identifier.,NOTE_000001
interaction_notes,bank_relation_id,STRING,FK,bank_relations.bank_relation_id,Y,Related bank relation.,BR_200001
interaction_notes,client_id,STRING,FK,clients.client_id,Y,Related client.,PTY_100001
interaction_notes,account_id,STRING,FK,bank_accounts.account_id,Y,Related account.,ACC_300001
interaction_notes,review_case_id,STRING,FK,review_cases.review_case_id,Y,Related investigation case.,CASE_800001
interaction_notes,created_by_staff_id,STRING,FK,bank_people.staff_id,N,Author of the note.,EMP_0001
interaction_notes,note_date,DATE,,,N,Date note was written.,46130
interaction_notes,note_type,STRING,,,N,"Call, meeting, KYC, investigation, service, complaint.",call
interaction_notes,note_text,STRING,,,N,Synthetic free-text note for NLP exercises.,Client explained transfer relates to consulting project milestone.
interaction_notes,sentiment_label,STRING,,,Y,"Positive, neutral, negative or mixed.",neutral
interaction_notes,contains_sensitive_info_flag,BOOLEAN,,,N,Synthetic sensitive information indicator.,FALSE
interaction_notes,follow_up_required_flag,BOOLEAN,,,N,Whether a follow-up is needed.,TRUE
interaction_notes,follow_up_due_date,DATE,,,Y,Due date for follow-up.,46137
interaction_notes,visibility_level,STRING,,,N,"Team, relationship, compliance, restricted.",compliance
due_diligence_reviews,due_diligence_review_id,STRING,PK,,N,Simple KYC review identifier.,KYC_000001
due_diligence_reviews,bank_relation_id,STRING,FK,bank_relations.bank_relation_id,N,Bank relation under review.,BR_200001
due_diligence_reviews,lead_client_id,STRING,FK,clients.client_id,Y,Lead client for review.,PTY_100001
due_diligence_reviews,review_type,STRING,,,N,"Periodic, event-driven, onboarding, remediation.",periodic
due_diligence_reviews,review_start_date,DATE,,,N,Review start date.,46082
due_diligence_reviews,review_due_date,DATE,,,N,Review due date.,46142
due_diligence_reviews,review_completion_date,DATE,,,Y,Completion date.,
due_diligence_reviews,review_status,STRING,,,N,"Not started, in progress, pending client, complete, overdue.",in progress
due_diligence_reviews,reviewer_staff_id,STRING,FK,bank_people.staff_id,Y,Reviewer assigned.,EMP_0012
due_diligence_reviews,old_risk_band,STRING,,,Y,Risk band before review.,Medium
due_diligence_reviews,new_risk_band,STRING,,,Y,Risk band after review.,High
due_diligence_reviews,risk_change_reason,STRING,,,Y,Reason for risk change.,New high-value cross-border activity
due_diligence_reviews,documents_missing_count,INTEGER,,,Y,Number of missing documents.,2
due_diligence_reviews,client_contacted_flag,BOOLEAN,,,N,Whether client was contacted.,TRUE
due_diligence_reviews,decision,STRING,,,Y,"Continue, restrict, exit, enhanced monitoring.",enhanced monitoring
fx_rates,fx_rate_id,STRING,PK,,N,Simple FX rate identifier.,FX_20260415_CHF_USD
fx_rates,rate_date,DATE,,,N,Rate date.,46127
fx_rates,base_currency_code,STRING,,,N,Base currency.,CHF
fx_rates,quote_currency_code,STRING,,,N,Quote currency.,USD
fx_rates,spot_rate,"DECIMAL(18,8)",,,N,Spot FX rate.,1.0967
fx_rates,average_rate,"DECIMAL(18,8)",,,Y,Average rate for reporting.,1.0942
fx_rates,rate_source,STRING,,,Y,Synthetic source label.,central_bank
fx_rates,is_month_end_rate_flag,BOOLEAN,,,N,Month-end rate indicator.,FALSE
screening_matches,screening_match_id,STRING,PK,,N,Simple sanctions hit identifier.,SHIT_000001
screening_matches,client_id,STRING,FK,clients.client_id,Y,Matched client if applicable.,PTY_100001
screening_matches,outside_party_id,STRING,FK,outside_parties.outside_party_id,Y,Matched external party if applicable.,EXT_700001
screening_matches,monitoring_alert_id,STRING,FK,monitoring_alerts.monitoring_alert_id,Y,Related alert if generated.,ALERT_900001
screening_matches,screening_date,DATE,,,N,Date screened.,46128
screening_matches,watchlist_name,STRING,,,N,Synthetic list name.,Global sanctions list
screening_matches,matched_name,STRING,,,N,Matched name.,Alex M.
screening_matches,match_score,INTEGER,,,N,Fuzzy match score 0-100.,72
screening_matches,hit_status,STRING,,,N,"Open, false positive, true match, escalated.",false positive
screening_matches,reviewed_by_staff_id,STRING,FK,bank_people.staff_id,Y,Reviewer.,EMP_0021
screening_matches,review_date,DATE,,,Y,Review date.,46129
screening_matches,resolution_note,STRING,,,Y,Resolution narrative.,Date of birth and jurisdiction do not match
risk_timeline,risk_timeline_id,STRING,PK,,N,Simple risk score history identifier.,RSK_000001
risk_timeline,client_id,STRING,FK,clients.client_id,Y,Client scored.,PTY_100001
risk_timeline,bank_relation_id,STRING,FK,bank_relations.bank_relation_id,Y,Bank relation scored.,BR_200001
risk_timeline,score_date,DATE,,,N,Score date.,46113
risk_timeline,score_type,STRING,,,N,"Onboarding, periodic, transaction, model, override.",model
risk_timeline,risk_score,INTEGER,,,N,Risk score.,35
risk_timeline,risk_band,STRING,,,N,Risk band.,Medium
risk_timeline,risk_driver_1,STRING,,,Y,Top driver.,cross_border_activity
risk_timeline,risk_driver_2,STRING,,,Y,Second driver.,jurisdiction_exposure
risk_timeline,risk_driver_3,STRING,,,Y,Third driver.,transaction_volume
risk_timeline,model_version,STRING,,,Y,Synthetic model version.,risk_model_v2
risk_timeline,override_reason,STRING,,,Y,Manual override reason if any.,
outreach_events,communication_id,STRING,PK,,N,Simple communication identifier.,COMM_000001
outreach_events,bank_relation_id,STRING,FK,bank_relations.bank_relation_id,Y,Related bank relation.,BR_200001
outreach_events,client_id,STRING,FK,clients.client_id,Y,Related client.,PTY_100001
outreach_events,staff_id,STRING,FK,bank_people.staff_id,N,Staff involved.,EMP_0001
outreach_events,communication_date,DATE,,,N,Date of communication.,46130
outreach_events,communication_channel,STRING,,,N,"Phone, email, meeting, secure message, letter.",phone
outreach_events,communication_topic,STRING,,,Y,Topic label.,transaction clarification
outreach_events,communication_outcome,STRING,,,Y,Outcome.,client explained payment
outreach_events,duration_minutes,INTEGER,,,Y,Duration.,18
outreach_events,follow_up_required_flag,BOOLEAN,,,N,Follow-up needed.,TRUE
outreach_events,related_interaction_note_id,STRING,FK,interaction_notes.interaction_note_id,Y,Linked note.,NOTE_000001
client_permissions,client_permission_id,STRING,PK,,N,Simple consent identifier.,CONS_000001
client_permissions,client_id,STRING,FK,clients.client_id,N,Client granting consent.,PTY_100001
client_permissions,bank_relation_id,STRING,FK,bank_relations.bank_relation_id,Y,Related relationship.,BR_200001
client_permissions,consent_type,STRING,,,N,"Marketing, data sharing, digital communication, profiling, research.",digital_communication
client_permissions,consent_status,STRING,,,N,"Granted, withdrawn, expired, pending.",granted
client_permissions,consent_start_date,DATE,,,N,Start date.,44351
client_permissions,consent_end_date,DATE,,,Y,End date.,
client_permissions,capture_channel,STRING,,,Y,"Branch, online, call center, paper.",online
client_permissions,captured_by_staff_id,STRING,FK,bank_people.staff_id,Y,Staff who captured consent.,EMP_0001
client_permissions,evidence_reference,STRING,,,Y,Synthetic evidence reference.,portal click log 98765
client_permissions,start_date,DATE,,,N,SCD2 validity start date for this dimensional record.,46023
client_permissions,end_date,DATE,,,Y,SCD2 validity end date; blank means current record.,
